City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ribeira Grande,PT,68.4,mist,38.5167,-28.7,Quinta da Meia Eira
2,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
7,Vaini,TO,73.56,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
8,Coquimbo,CL,62.33,scattered clouds,-29.9533,-71.3436,Punto de encuentro
11,Mega,ET,61.88,few clouds,4.05,38.3,Amanuel Guest House
13,Faanui,PF,78.73,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
15,Inhambane,MZ,70.05,scattered clouds,-23.865,35.3833,Oceano
18,Rikitea,PF,75.74,overcast clouds,-23.1203,-134.9692,People ThankYou
21,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
24,Sabang,ID,77.05,overcast clouds,5.8933,95.3214,Hotel Citra
25,Kaeo,NZ,66.33,overcast clouds,-35.1,173.7833,Bushido Lodge
27,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
28,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.0833,Scoop Guest House
30,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Fortuna,US,66.92,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
33,Cabinda,AO,78.91,light rain,-5.55,12.2,Hotel Maiombe
36,Bredasdorp,ZA,60.12,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
37,Saint-Pierre,RE,69.57,broken clouds,-21.3393,55.4781,Lindsey Hôtel
42,Mataura,NZ,60.96,broken clouds,-46.1927,168.8643,Ellie's Villa
43,San Patricio,US,82.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
48,Copiapo,CL,60.49,clear sky,-27.3667,-70.3333,San Francisco de La Selva
50,Nakatunguru,TZ,75.24,broken clouds,-2.1167,33.0667,New BJ Hotel
53,Embonas,GR,60.93,few clouds,36.2269,27.8564,Hotel Ataviros
54,Campoverde,PE,87.49,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
57,Bougouni,ML,81.43,overcast clouds,11.417,-7.479,Non Stop
58,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
59,Celestun,MX,81.7,overcast clouds,20.8667,-90.4,Posada Lilia
60,Vila Franca Do Campo,PT,71.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
61,Namibe,AO,66.42,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
62,Ewo,CG,71.17,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
64,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
65,Hermanus,ZA,60.91,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
67,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
70,Nouadhibou,MR,76.98,overcast clouds,20.931,-17.0347,El Medina
71,Constitucion,CL,64.92,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
72,Makakilo City,US,82.29,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
73,Soller,ES,69.42,overcast clouds,39.7662,2.7152,Hotel Marina & Wellness Spa
77,Flinders,AU,61.81,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
78,Butaritari,KI,83.7,few clouds,3.0707,172.7902,Isles Sunset Lodge
79,Port Alfred,ZA,62.69,overcast clouds,-33.5906,26.891,The Halyards Hotel
80,Santa Rosa,PH,79.11,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
81,Riyadh,SA,73.54,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
84,Marzuq,YE,69.6,clear sky,14.4,46.4667,
85,Namatanai,PG,82.18,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
87,Adrar,MR,78.57,broken clouds,20.5022,-10.0711,
88,Muisne,EC,80.71,broken clouds,0.6,-80.0333,Quinta Samay
90,Port Blair,IN,81.07,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
92,Lusambo,CD,68.95,broken clouds,-4.9667,23.45,
93,Buraydah,SA,79.25,clear sky,26.326,43.975,فندق راحة السلام
95,Cidreira,BR,68.99,broken clouds,-30.1811,-50.2056,Hotel Castelo
96,Pringsewu,ID,75.34,light rain,-5.3582,104.9744,Urban Style by Front One
99,Anloga,GH,82.62,overcast clouds,5.7947,0.8973,Pin Drop Hotel
101,Bonoua,CI,80.22,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
102,Vung Tau,VN,79.95,overcast clouds,10.346,107.0843,Green hotel
104,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
105,Grants Pass,US,67.59,fog,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
110,Vao,NC,70.54,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
111,Cape Town,ZA,65.08,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
112,Rafai,CF,69.06,overcast clouds,4.95,23.9167,
114,Itarema,BR,80.33,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
115,Mahebourg,MU,72.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
123,Kapaa,US,80.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
127,Senador Jose Porfirio,BR,84.27,broken clouds,-2.5908,-51.9542,Pousada Novo Horizonte
128,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
129,Neuquen,AR,87.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
131,Kloulklubed,PW,84.07,light rain,7.0419,134.2556,Storyboard Beach Resort
134,Qeshm,IR,76.89,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
135,Diego De Almagro,CL,79.68,clear sky,-26.3667,-70.05,hotel luna del desierto
136,Maine-Soroa,NE,86.52,few clouds,13.2114,12.0241,Complexe
137,Harper,LR,77.31,overcast clouds,4.375,-7.7169,Screensaver
140,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
141,Port Moresby,PG,74.62,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
143,Bobon,PH,78.85,scattered clouds,12.5246,124.5636,Fairways
144,Eyl,SO,77.13,scattered clouds,7.9803,49.8164,Amiin Hotel
146,Thinadhoo,MV,83.05,overcast clouds,0.5333,72.9333,
148,Boca Do Acre,BR,87.73,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
150,Hualmay,PE,67.91,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
151,Noumea,NC,75.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
153,Port Lavaca,US,76.3,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
155,Iralaya,HN,80.69,overcast clouds,15.0,-83.2333,Iglesia morava renovada
158,Lompoc,US,87.1,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
159,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
160,Half Moon Bay,US,81.14,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
161,Rocha,UY,69.06,clear sky,-34.4833,-54.3333,Beleza Pura B&B
162,Padang,ID,77.61,overcast clouds,-0.9492,100.3543,Mercure Padang
163,Gorakhpur,IN,67.19,clear sky,29.45,75.6833,Baba Gourakhnath Dharamsala
164,Cap Malheureux,MU,72.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
165,Tura,IN,65.07,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
166,Madimba,TZ,74.98,scattered clouds,-10.4,40.3333,
167,Sindou,BF,76.69,light rain,10.6667,-5.1667,LERABA HOTEL
168,Chuy,UY,68.23,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
169,Carnarvon,AU,64.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
173,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
174,Dromolaxia,CY,66.07,clear sky,34.8761,33.586,Sea N Lake View Hotel Apartments
175,Turayf,SA,64.65,scattered clouds,31.6725,38.6637,Turaif
176,Craig,US,61.39,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
177,Porbandar,IN,78.26,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
178,Saint-Philippe,RE,69.48,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
179,Atambua,ID,75.4,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
180,East London,ZA,64.76,light rain,-33.0153,27.9116,Tu Casa
181,Tucurui,BR,80.55,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
188,Vilhena,BR,86.22,thunderstorm,-12.7406,-60.1458,Hotel Mirage
189,Sabha,LY,69.17,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
191,Saldanha,ZA,62.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
192,Funtua,NG,73.76,broken clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
194,Glendive,US,73.18,few clouds,47.1053,-104.7125,Baymont by Wyndham Glendive
195,Faya,SA,61.32,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
196,Curumani,CO,76.78,overcast clouds,9.1999,-73.5427,Hotel Mayumir
197,Barranca,PE,66.34,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
198,Trairi,BR,80.19,overcast clouds,-3.2778,-39.2689,janelas do mar
202,Waingapu,ID,79.93,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
204,Vanimo,PG,77.9,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
205,Malakal,SS,77.16,broken clouds,9.5334,31.6605,Nile Palace Hotel
206,Yulara,AU,71.44,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
208,Bowen,AU,71.82,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
217,Manuk Mangkaw,PH,83.01,light rain,4.8,119.85,
219,Abu Kamal,SY,68.95,broken clouds,34.4506,40.9171,محطة التلفاز
220,Kahului,US,81.66,broken clouds,20.8947,-156.47,Maui Seaside Hotel
221,Aracaju,BR,78.75,clear sky,-10.9111,-37.0717,HOTEL FÊNIX
222,Sao Pedro,BR,75.49,scattered clouds,-22.5486,-47.9139,Hotel Fazenda Samambaia
223,Amahai,ID,77.88,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
224,Acapulco,MX,84.52,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
225,Quelimane,MZ,73.35,clear sky,-17.8786,36.8883,Hotel Flamingo
226,Itaparica,BR,78.73,clear sky,-12.8883,-38.6786,Pousada Nel Blu
227,Castro,BR,66.24,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
229,Bengkulu,ID,75.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
234,Nioro,GM,80.73,overcast clouds,13.35,-15.75,
235,Buala,SB,83.01,light rain,-8.145,159.5921,Maringe Lagoon Lodge
236,Laguna,US,80.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
237,Morant Bay,JM,87.42,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
241,Necochea,AR,89.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
242,Dakar,SN,83.28,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
244,Camacha,PT,69.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
245,Sachin,IN,72.75,overcast clouds,21.0833,72.8833,Hotel Ashish
247,Atuona,PF,77.88,few clouds,-9.8,-139.0333,Villa Enata
248,Sur,OM,77.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
249,Sorong,ID,78.01,overcast clouds,-0.8833,131.25,waigo splash hotel
250,Mar Del Plata,AR,68.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
252,Bako,ET,64.96,broken clouds,5.7833,36.5667,Goh Hotel
253,Nhulunbuy,AU,74.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
254,Bardiyah,LY,71.55,overcast clouds,31.7561,25.0865,بورتو بردية
259,Port Hedland,AU,73.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
261,Burhar,IN,61.21,scattered clouds,23.2167,81.5333,REPL Camp
262,Cavalcante,BR,75.97,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
266,Ponta Do Sol,PT,72.23,broken clouds,32.6667,-17.1,Hotel do Campo
268,Ixtapa,MX,86.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
269,Mogadishu,SO,79.34,few clouds,2.0371,45.3438,Hotel Juba
271,Cagliliog,PH,77.86,clear sky,13.9016,123.2913,Cagliliog Labog Beach
274,Sokoto,NG,85.3,broken clouds,13.0609,5.239,Shukura Coral Hotel
275,Kattivakkam,IN,77.09,overcast clouds,13.2167,80.3167,Euronova Freezer
276,Marsh Harbour,BS,80.08,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
282,Taoudenni,ML,84.83,clear sky,22.6783,-3.9836,
284,Arraial Do Cabo,BR,69.66,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
286,Lagoa,PT,67.39,overcast clouds,39.05,-27.9833,Casa Das Faias
287,Dothan,US,65.17,broken clouds,31.2232,-85.3905,Courtyard by Marriott Dothan
288,Serenje,ZM,63.91,few clouds,-13.2325,30.2352,The Kabaso's
290,San Quintin,MX,74.68,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
291,Coari,BR,83.66,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
292,Itumbiara,BR,83.5,overcast clouds,-18.4192,-49.2153,Itumbiara Palace Hotel
293,Samarai,PG,83.53,scattered clouds,-10.6167,150.6667,Nuli Sapi
294,Tual,ID,83.8,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
296,Lorengau,PG,81.27,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
297,Nileshwar,IN,78.03,overcast clouds,12.25,75.1,Neeleshwar Hermitage
299,Korhogo,CI,74.17,light rain,9.45,-5.6333,Hôtel Tchinbota
301,Myitkyina,MM,67.5,clear sky,25.3833,97.4,Shwe Phyu Hotel
303,Imbituba,BR,70.83,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
305,Arlit,NE,85.6,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
306,Kavieng,PG,83.39,light rain,-2.5744,150.7967,Nusa Island Retreat
307,Madang,PG,77.72,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
308,Chenzhou,CN,60.21,light rain,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
309,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
310,Dzilam Gonzalez,MX,81.97,overcast clouds,21.2833,-88.9333,posadas
312,Ambilobe,MG,74.41,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
314,Karpathos,GR,66.16,broken clouds,35.507,27.2132,Alex
315,Crestline,US,79.09,clear sky,34.242,-117.2856,Sleepy Hollow Cabins & Hotel
316,Belmonte,BR,78.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
320,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
324,Antofagasta,CL,63.68,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
325,Abong Mbang,CM,68.05,light rain,3.9833,13.1833,Auberge Angle Sur
327,Ahipara,NZ,64.69,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
331,Agua Verde,MX,88.03,clear sky,22.9,-106.05,
332,Loubomo,CG,74.21,overcast clouds,-4.1997,12.6739,La Dolisienne
333,San Andres,CO,83.79,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
335,Sesheke,ZM,83.17,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
336,Socorro,US,77.09,clear sky,31.6546,-106.3033,guarderia imss papalote
337,Naliya,IN,78.57,scattered clouds,23.2667,68.8333,jadeja jayendrasinh
338,Kota Belud,MY,76.86,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
340,Moron,AR,86.95,broken clouds,-34.6534,-58.6198,Hotel Morón
341,Los Llanos De Aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
344,Nova Olinda Do Norte,BR,83.28,broken clouds,-3.8881,-59.0942,Jardim Paiva Hotel
345,Naifaru,MV,81.73,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
347,Kisangani,CD,70.23,light rain,0.5167,25.2,Grand Ramela Hotel
349,Dhidhdhoo,MV,81.86,overcast clouds,6.8833,73.1,Dhidhoo beach
350,Itoman,JP,71.62,clear sky,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
351,Cuamba,MZ,70.32,clear sky,-14.8031,36.5372,Hotel Vision
352,Veraval,IN,77.79,overcast clouds,20.9,70.3667,Lords Inn Somnath
353,Kudahuvadhoo,MV,81.88,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
354,Dwarka,IN,79.77,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
356,Caravelas,BR,74.82,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
357,Pochutla,MX,88.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
358,Ishigaki,JP,75.47,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
359,Sao Miguel Do Tapuio,BR,89.8,overcast clouds,-5.5036,-41.3233,Hotel Tropical
363,Bustamante,MX,78.8,clear sky,26.5333,-100.5,Hotel Hacienda los Nogales
365,Darnah,LY,69.42,clear sky,32.767,22.6367,فندق الفردوس
370,Eydhafushi,MV,81.73,overcast clouds,5.1033,73.0708,Soneva Fushi
373,Negombo,LK,75.25,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
377,Kaoma,ZM,73.62,broken clouds,-14.7833,24.8,KAOMA AIRPORT
378,Abnub,EG,75.42,overcast clouds,27.2696,31.1511,Romany Adly Gad
383,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
385,Caluquembe,AO,65.43,overcast clouds,-13.7833,14.6833,Hotel Kalukembe
386,Gushikawa,JP,70.83,clear sky,26.3544,127.8686,Kirari Guest House
387,Kabalo,CD,70.02,scattered clouds,-6.05,26.9167,
389,Chipata,ZM,66.51,clear sky,-13.6333,32.65,Protea Hotel by Marriott Chipata
390,Airai,TL,60.93,overcast clouds,-8.9266,125.4092,Juvinal Martin
391,Castro Alves,BR,73.15,clear sky,-12.7656,-39.4283,Hotel e Restaurante do Poeta
395,Mackay,AU,80.04,clear sky,-21.15,149.2,International Lodge Motel
399,Qurayyat,SA,69.98,clear sky,31.3318,37.3428,Mozon Furnished Aprtments
400,Kailua,US,83.75,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
403,Meulaboh,ID,75.22,light rain,4.1363,96.1285,Kost Pria
404,Port-Gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Fengshui Residence
405,Sola,VU,81.61,overcast clouds,-13.8833,167.55,Leumerus Bungalows
406,Auki,SB,82.29,broken clouds,-8.7676,160.7034,Auki Motel
407,Casimiro Castillo,MX,84.56,scattered clouds,19.6,-104.4333,Hotel San José
408,Lodwar,KE,86.05,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
409,Tutoia,BR,80.08,overcast clouds,-2.7619,-42.2744,Pousada Guará's
410,Tiznit,MA,63.03,clear sky,29.5833,-9.5,
411,Sao Felix Do Xingu,BR,86.05,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
412,Bentiu,SS,77.2,broken clouds,9.2333,29.8333,Mandela hôtel
413,Tahoua,NE,86.92,broken clouds,14.8888,5.2692,Bungalows Guesthouse
414,Rangpur,BD,68.79,clear sky,25.75,89.25,Hotel Shah Amanat
415,Dingle,PH,75.83,light rain,10.9995,122.6711,SEGAYA PROPERTY
419,Bernalillo,US,75.25,clear sky,35.05,-106.6673,DoubleTree by Hilton Hotel Albuquerque
420,Isangel,VU,78.91,clear sky,-19.55,169.2667,Tanna Lodge
421,Luena,AO,62.83,moderate rain,-11.7833,19.9167,Hotel Kandamba
422,Santa Isabel Do Rio Negro,BR,81.59,overcast clouds,-0.4139,-65.0192,Hotel GSA
423,Oussouye,SN,80.78,overcast clouds,12.485,-16.5469,Auberge du Routard
424,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
425,Mercedes,AR,87.85,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
426,Mabaruma,GY,79.38,broken clouds,8.2,-59.7833,Monty Brooms Guest House
427,Saint-Joseph,RE,68.47,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
432,Saint George,US,78.53,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
434,Tucumcari,US,72.95,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
437,Richards Bay,ZA,67.95,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
440,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
443,Abaete,BR,80.58,overcast clouds,-19.16,-45.4458,Hotel Millenium
444,Plettenberg Bay,ZA,62.17,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
445,Yeppoon,AU,76.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
446,Cabo Rojo,PR,86.68,few clouds,18.0866,-67.1457,Hotel Perichi's
447,Muli,MV,82.2,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
450,Aquin,HT,82.78,few clouds,18.2833,-73.4,Asheev Beach
451,Lixourion,GR,61.74,overcast clouds,38.2019,20.4314,Hotel Summery
454,Buenos Aires,AR,86.94,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
